"gender"	"age"	"attitude"	"deep"	"surf"	"stra"	"points"
"1"	"F"	53	3.7	3.58333333333333	2.58333333333333	3.375	25
"2"	"M"	55	3.1	2.91666666666667	3.16666666666667	2.75	12
"3"	"F"	49	2.5	3.5	2.25	3.625	24
"4"	"M"	53	3.5	3.5	2.25	3.125	10
"5"	"M"	49	3.7	3.66666666666667	2.83333333333333	3.625	22
"6"	"F"	38	3.8	4.75	2.41666666666667	3.625	21
"7"	"M"	50	3.5	3.83333333333333	1.91666666666667	2.25	21
"8"	"F"	37	2.9	3.25	2.83333333333333	4	31
"9"	"M"	37	3.8	4.33333333333333	2.16666666666667	4.25	24
"10"	"F"	42	2.1	4	3	3.5	26
"11"	"M"	37	3.9	3.58333333333333	2.66666666666667	3.625	31
"12"	"F"	34	3.8	3.83333333333333	2.41666666666667	4.75	31
"13"	"F"	34	2.4	4.25	2.25	3.625	23
"14"	"F"	34	3	3.33333333333333	2.75	3.5	25
"15"	"M"	35	2.6	4.16666666666667	2.33333333333333	1.75	21
"17"	"F"	33	4.1	3.66666666666667	2.33333333333333	3.875	31
"18"	"F"	32	2.6	4.08333333333333	2.91666666666667	1.375	20
"19"	"F"	44	2.6	3.5	2.5	3.25	22
"20"	"M"	29	1.7	4.08333333333333	3.75	3	9
"21"	"F"	30	2.7	4	2.75	3.75	24
"22"	"M"	27	3.9	3.91666666666667	2.33333333333333	2.625	28
"23"	"M"	29	3.4	4	2.41666666666667	2.375	30
"24"	"F"	31	2.7	4	3	3.625	24
"25"	"F"	37	2.3	3.66666666666667	2.41666666666667	2.75	9
"26"	"F"	26	3.7	3.66666666666667	2.83333333333333	1.75	26
"27"	"F"	26	4.4	4.41666666666667	3.16666666666667	3.25	32
"28"	"M"	30	4.1	3.91666666666667	3	4	32
"30"	"F"	33	3.7	3.75	2	3.625	33
"31"	"F"	33	2.5	3.25	3.5	2.875	29
"32"	"M"	28	3	3.58333333333333	3.75	3	30
"33"	"M"	26	3.4	4.91666666666667	2.5	1.625	19
"34"	"F"	27	3.2	3.58333333333333	2.08333333333333	3.25	23
"35"	"F"	25	2	2.91666666666667	2.41666666666667	3.5	19
"36"	"F"	31	2.4	3.66666666666667	2.58333333333333	3	12
"37"	"M"	20	4.2	4.5	1.58333333333333	3.25	10
"38"	"F"	39	1.6	4.08333333333333	2.83333333333333	1.875	11
"39"	"M"	38	3.1	3.83333333333333	1.83333333333333	4.375	20
"40"	"M"	24	3.8	3.25	2.41666666666667	3.625	26
"41"	"M"	26	3.8	2.33333333333333	3.25	2.5	31
"42"	"M"	25	3.3	3.33333333333333	3.41666666666667	1.25	20
"43"	"F"	30	1.7	4.08333333333333	3.41666666666667	4	23
"44"	"F"	25	2.5	2.91666666666667	3.16666666666667	3	12
"45"	"M"	30	3.2	3.33333333333333	3.5	2.5	24
"46"	"F"	48	3.5	3.83333333333333	2.66666666666667	4.875	17
"47"	"F"	24	3.2	3.66666666666667	2.41666666666667	5	29
"48"	"F"	40	4.2	4.66666666666667	3.58333333333333	4.375	23
"49"	"M"	25	3.1	3.75	2.08333333333333	3.25	28
"50"	"F"	23	3.9	3.41666666666667	3.75	4	31
"51"	"F"	25	1.9	4.16666666666667	2.91666666666667	3.125	23
"52"	"F"	23	2.1	2.91666666666667	2.91666666666667	2.5	25
"53"	"M"	27	2.5	4.16666666666667	2.41666666666667	3.125	18
"54"	"M"	25	3.2	3.58333333333333	3	3.25	19
"55"	"M"	23	3.2	2.83333333333333	3.41666666666667	2.125	22
"56"	"F"	23	2.6	4	2.91666666666667	2.75	25
"57"	"F"	23	2.3	2.91666666666667	3.25	2.375	21
"58"	"F"	45	3.8	3	3.25	3.125	9
"59"	"F"	22	2.8	4.08333333333333	2.33333333333333	4	28
